X,CMK,HEL,HL.60,K052,KASUMI.1,KG.1,KMOE.2,ME.1,ML.2,MOLM.13,MONO.MAC.6,MV.4.11,NOMO.1,OCI.AML3,OCI.AML5,OCI.M1,P31.FUJ,PL.21,SIG.M5,SKM.1,THP.1,AML.193,GDM.1,M.07e,NB4,OCI.AML2,COLO.680N,KYSE.140,KYSE.150,KYSE.520,KYSE.70,OE19,OE33,KYSE.410,KYSE.450,KYSE.510,HEP.3B,HEP.G2,JHH.2,PLC.PRF.5,SK.HEP.1,SNU.387,SNU.423,SNU.449,SNU.475,JHH.4,SNU.182,SNU.398
Axitinib,0.107032309,0.135841078,0.128270795,0.302772116,0.716752904,0.415005294,9.01E-02,5.90E-02,0.158987837,0.195839924,6.68E-02,0.200537709,0.19403409,0.16076567,0.195757259,9.62E-02,0.178002009,0.101067648,0.187848353,0.202296898,0.11903015,0.324415176,0.280264836,0.266126571,0.150143692,0.154366753,5.27E-02,0.131015569,0.10458067,0.126488824,7.45E-02,5.84E-02,7.03E-02,0.145795567,6.53E-02,6.24E-02,0.257583951,0.119343199,7.56E-02,0.135960391,6.81E-02,0.107981671,0.132876395,9.33E-02,0.273492824,0.101537291,0.205075819,0.186716963
azacitidine,6.29E-02,6.34E-02,1.06E-02,4.43E-02,NA,NA,NA,NA,NA,9.45E-02,NA,6.97E-02,6.89E-02,3.35E-02,4.92E-03,1.51E-02,6.35E-02,5.51E-02,2.15E-02,2.65E-02,0.147292464,5.62E-02,NA,3.61E-02,3.98E-02,0.153105681,8.43E-04,9.46E-03,1.11E-02,1.28E-02,2.46E-02,8.43E-03,0.136094,5.40E-02,1.25E-02,4.28E-02,9.03E-02,4.85E-02,6.19E-02,5.79E-02,6.40E-03,3.13E-03,4.69E-02,1.35E-02,4.07E-02,7.47E-03,4.50E-02,0.102331825
belinostat,0.760952298,1,0.598594637,0.607188598,0.612038842,0.806563505,0.678250532,0.699792269,0.546702985,0.72990416,0.639581294,0.841264707,0.672973026,0.592798932,0.69230209,0.741248465,0.529646488,0.477488138,0.692023052,NA,0.768653693,0.548528908,0.799800114,0.572746057,0.84666296,0.713113031,4.91E-03,3.26E-03,0.381698149,0.461613763,0.513985582,0.320959721,0.4002635,0.476489134,0.467970064,0.342261,0.817319053,NA,0.555470405,0.28215924,0.407103888,0.65565886,0.729417626,0.332165982,0.84555097,0.695303351,0.711037207,0.594505629
bendamustine,1.67E-02,2.89E-02,1.63E-02,2.98E-02,3.89E-02,NA,NA,9.36E-02,NA,0.1247927,NA,0.191076699,NA,NA,7.76E-02,1.56E-02,3.07E-02,NA,3.06E-02,NA,8.71E-02,7.03E-02,NA,4.16E-02,NA,NA,1.69E-02,6.46E-03,1.98E-02,7.50E-02,3.15E-02,7.26E-02,6.41E-02,0.135644267,6.44E-02,1.88E-02,7.88E-03,NA,0.139686694,7.15E-02,2.62E-03,0.115016964,6.60E-02,3.94E-02,0.127525834,7.46E-04,1.25E-02,3.34E-02
Bexarotene,0.170356109,1.97E-02,0.216302334,0.1685198,8.65E-02,9.92E-02,3.19E-02,6.06E-02,0.103161626,0.161999768,0.231027403,0.453655373,0.222552,0.21638825,0.189666602,9.53E-02,2.32E-02,0.210200657,0.554106581,0.280663461,0.12181196,9.35E-02,0.129312667,4.46E-02,2.00E-02,8.36E-02,1.68E-02,4.27E-02,6.40E-02,9.71E-02,5.81E-02,6.32E-02,5.53E-02,3.33E-02,7.54E-02,4.00E-02,4.84E-02,3.21E-02,3.45E-03,2.42E-02,0.139765192,0.120520477,0.219045588,1.28E-02,0.170424267,5.15E-02,8.07E-02,9.96E-02
Bicalutamide,1.26E-02,1.09E-02,2.19E-02,0,2.46E-02,4.42E-03,1.40E-02,2.64E-02,1.86E-02,1.67E-02,5.03E-02,1.62E-02,5.70E-02,1.26E-03,7.67E-03,3.05E-03,1.21E-02,2.32E-02,7.18E-03,6.81E-02,3.06E-03,NA,3.60E-02,NA,4.94E-03,1.82E-03,6.42E-02,0,2.23E-02,1.60E-02,8.20E-02,7.38E-02,3.26E-02,1.58E-02,5.20E-03,2.31E-02,7.43E-02,NA,3.81E-03,1.54E-02,7.25E-02,3.22E-02,2.15E-02,4.05E-02,5.40E-02,2.57E-02,4.05E-03,1.35E-02
Bleomycin,0.136787456,0.203195337,0.110030536,1.08E-02,5.95E-02,0.933653998,6.70E-02,0.139262306,0.538302828,0.284933609,0.251429443,0.505776358,0.28280369,0.177335751,0.329487695,8.51E-02,9.28E-02,0.201357363,0.505743358,0.133078111,0.139589063,1.76E-02,0.403581898,0.338802362,0.35356684,0.34863473,0.369877178,0.37271857,0.559455666,0.501460202,0.429929915,0.37976813,0.266791033,0.310541723,0.359867953,0.418387667,0.48261395,4.58E-02,0.110260903,0.173084973,0.530444645,0.442625482,0.486895647,0.511420423,0.367398299,0.287660551,0.187434387,0.547013657
Bortezomib,0.445999434,0.460051272,0.275764909,0.326406977,0.343248861,0.551280763,0.451744958,0.379422742,0.590025176,0.40310281,0.40523382,0.454483635,0.40195496,0.374820968,0.391370883,0.545715081,0.160995356,0.308067127,0.409834899,0.366734768,0.277626799,0.195407844,0.484677845,0.318339617,0.286309351,0.417696445,0.31116911,0.20753619,0.418987464,0.374872551,0.233413899,0.36768373,0.2739975,0.351405387,0.280056287,0.2461355,0.359291493,0.305149745,0.36471404,0.233965476,0.389316832,0.313068379,0.370781931,0.1943872,0.33807752,0.294472664,0.348483131,0.246893648
Bosutinib,7.65E-02,0.151409212,0.174633535,0.285434461,0.176192641,NA,0.176723778,0.143964615,8.19E-02,0.237658156,0.241589152,0.270448052,0.101934184,0.183960793,0.152793194,0.142783562,0.22613576,0.238764346,0.319095042,0.285007763,0.153286202,0.318814133,0.185787734,0.319884369,0.143437484,0.153737237,0.147280909,0.398174084,0.179005359,0.288216188,0.116972013,0.10565873,8.78E-02,0.423823147,0.19832867,0.18029285,0.195495751,0.244740868,0.129536614,0.21696668,0.164748596,0.180248186,0.121505582,0.143966835,0.228094595,0.150804241,0.25932478,0.118444492
cabozantinib,0.21702043,2.43E-02,0.125950963,0.19844383,0.639977471,NA,NA,NA,NA,0.862604281,0.544051317,0.886732301,NA,0.185502648,0.235826469,7.55E-02,0.216007804,0.149044446,0.204362837,NA,0.141012982,0.270058215,NA,0.174035436,NA,NA,9.43E-02,7.61E-02,0.191321239,8.30E-02,7.20E-02,3.40E-03,0.281936,NA,8.01E-02,7.67E-02,0.181254357,0.106789906,0.210622166,8.07E-02,0.174050724,0.180277764,0.188382644,0.155985897,0.306470472,0.234678406,0.251847458,7.20E-02
Carboplatin,6.87E-03,4.63E-02,1.13E-02,6.32E-02,4.87E-02,NA,NA,1.50E-02,NA,9.64E-02,0.115051487,6.44E-02,1.40E-02,0.106515109,9.90E-03,1.40E-02,9.16E-02,1.49E-03,2.97E-02,1.16E-02,1.04E-02,1.15E-02,5.41E-02,3.53E-03,2.78E-03,6.50E-03,3.69E-02,9.45E-02,4.53E-02,3.15E-02,1.52E-02,5.97E-03,0,3.82E-04,1.44E-02,8.27E-04,9.69E-02,8.26E-03,2.59E-02,1.91E-02,2.21E-02,2.91E-02,8.98E-03,4.14E-03,4.88E-03,1.84E-02,0.10292754,3.61E-02
chlorambucil,0.243166298,0.254527619,0.214019923,0.20460141,9.34E-02,NA,NA,9.62E-02,NA,0.364395411,NA,0.388931792,0.157118421,0.308349879,0.221509833,0.220502475,0.234662499,0.151646107,0.258033651,0.219049491,0.262165541,0.216439038,0.18035839,0.209584487,0.22084005,0.238795802,0.137506103,7.59E-02,5.79E-02,3.22E-03,3.33E-02,6.89E-02,NA,3.72E-02,4.51E-02,9.43E-02,1.99E-02,3.38E-02,0.121599625,2.38E-02,4.39E-02,3.21E-02,5.36E-02,1.43E-02,3.65E-04,0.1064961,5.83E-02,3.85E-02
Cisplatin,8.85E-02,NA,0.10713587,NA,1.39E-02,NA,4.88E-02,2.48E-02,7.07E-02,9.05E-02,3.98E-02,0.196922128,6.93E-02,9.01E-02,0.138557257,4.41E-02,4.64E-02,3.55E-05,NA,NA,2.50E-02,NA,2.02E-02,NA,0.218561492,0.253267013,2.73E-02,0.3878282,7.92E-02,8.02E-02,5.16E-02,0.159335501,6.96E-02,0.199545116,6.26E-02,0.196766,0.173467965,NA,5.76E-02,NA,7.12E-02,0.174715834,9.99E-02,6.99E-02,NA,9.40E-02,0.328330844,NA
clofarabine,0.850708068,NA,0.632549889,0.782076923,0.597214927,NA,NA,0.640819833,NA,0.633407186,0.460435726,0.79462358,0.873101371,9.45E-02,1.57E-02,0.722688949,0.675656029,0.879392904,0.707059018,0.705343722,0.683229744,0.679020538,0.809979354,0.781197506,NA,0.908412959,0.318123897,0.230930172,0.220015245,0.175924121,0.273393016,9.88E-02,0.11599,0.118462851,4.77E-02,0.33686,0.157850117,0.332781793,2.43E-02,0.146141041,0.185287229,0.225663013,0.301893643,0.179055456,0.162564223,0.354471068,9.73E-02,0.20286099
Crizotinib,0.210329725,0.146049358,0.153537837,0.190462281,0.214287859,6.14E-02,4.01E-02,0.17421184,3.88E-02,0.262103632,0.166727441,0.153196994,0.121180385,0.201886288,0.134644084,0.176262795,0.168747025,0.208194247,0.121663265,0.119655558,0.149029763,0.462120931,0.215710116,0.381231981,0.212849815,0.122695973,0.135030475,0.11464637,8.67E-02,8.37E-02,9.78E-02,0.101826761,0.290617333,0.132273726,6.69E-02,6.23E-02,0.135012475,0.157666534,9.53E-02,7.32E-02,0.106060998,8.48E-02,0.139626695,6.64E-02,0.165101317,9.98E-02,0.148234991,8.79E-02
Cyclophosphamide,NA,1.14E-02,NA,NA,NA,NA,NA,1.91E-02,NA,4.09E-02,5.85E-02,8.50E-02,NA,NA,NA,NA,1.41E-03,5.87E-02,NA,0,2.20E-03,NA,1.28E-02,NA,5.13E-03,1.10E-02,1.46E-02,2.08E-02,NA,NA,8.70E-03,NA,NA,4.02E-02,NA,NA,1.66E-02,3.62E-02,NA,NA,NA,NA,NA,NA,NA,NA,9.76E-03,3.94E-02
Cytarabine,0.343788438,0.697874631,0.270290132,0.468171942,0.39146131,0.499221154,0.256874523,0.275031793,0.406204692,0.384937141,0.269314072,0.222885753,0.115999102,8.04E-02,0.312983385,0.250623824,0.186406033,0.541790363,0.448263446,0.238596531,0.201320364,0.477339352,0.347624268,0.585350001,0.480140555,0.357640224,0.163417517,0.334828803,0.101517586,0.172073716,0.201721132,0.256041418,0.1979225,0.255071844,0.127661597,0.335628,0.352847898,0.222201427,1.00E-01,5.76E-02,0.230010891,0.330810417,0.353787286,0.169694447,0.11769623,7.67E-02,0.321160561,9.36E-02
dabrafenib,7.02E-02,0.10410564,4.99E-02,0.166418388,0.163072283,0.154146432,0.111345247,3.08E-02,2.88E-03,0.159230455,0.131308242,0.124380382,7.91E-02,0.133394105,4.57E-02,6.08E-03,7.40E-02,4.96E-02,0.839639193,5.48E-02,2.25E-03,8.36E-02,0.138740052,NA,0.125649454,7.88E-02,2.63E-03,NA,1.93E-02,2.43E-02,1.11E-02,1.29E-02,4.90E-02,NA,1.53E-02,3.32E-02,0.138347803,NA,0.113415311,0.119019403,0.305558113,3.27E-02,4.81E-02,8.57E-02,0.152854643,0.149139526,9.52E-02,1.35E-02
dacarbazine,0.215789337,0.296681074,0.148490148,8.82E-02,9.32E-02,NA,NA,2.95E-03,NA,0.174811121,NA,0.431678325,0.374235237,3.14E-03,0,8.05E-03,0.415737208,0.307694867,0.247927758,0.384030051,0.194522428,0.307813956,4.02E-03,0.233130148,0.25892393,0.343984949,9.35E-02,0.136998016,7.15E-03,0.107406992,3.98E-02,3.74E-03,1.76E-02,6.00E-02,2.18E-02,2.25E-02,0.13332263,6.57E-02,1.58E-02,7.92E-03,0.140350274,1.22E-02,0.109090212,8.09E-02,9.17E-02,0.258499109,0.176205951,NA
Dasatinib,7.66E-02,0.105113586,5.93E-02,7.96E-02,0.481183251,2.54E-02,5.29E-03,3.70E-02,3.96E-02,0.389802819,0.236611137,0.227388779,7.74E-02,0.190187697,0.175779554,0.1281293,0.101496442,0.119431045,8.22E-02,0.155898321,0.116270564,0.22386162,0.738172409,0.21240171,0.114393322,0.115028752,0.678802487,0.611738714,0.261238439,0.740354179,0.416650546,0.295902976,0.332155,0.677170836,0.300666712,6.27E-02,9.07E-02,0.258267085,0.637219093,0.167124314,0.133847057,0.591156864,0.608878418,0.587247528,0.712053926,0.734367548,0.747806986,0.170385792
dexamethasone,1.27E-02,0,0,0.216625265,0.825432672,NA,NA,0.291636511,NA,NA,NA,NA,0.19995599,1.99E-02,2.79E-03,0,0,1.08E-02,8.76E-03,5.62E-02,4.36E-02,1.74E-03,2.80E-02,4.71E-04,0,0,0,2.74E-04,0,0.14250893,1.48E-02,0,0.106238,0,0.144975392,0,0,1.78E-03,2.83E-02,3.98E-02,7.74E-02,2.29E-03,4.41E-02,9.98E-02,0.405416968,2.66E-02,4.84E-02,5.75E-03
Docetaxel,0.476442508,0.296236108,0.54445635,0.895534097,0.451852338,0.231978071,0.107642648,2.76E-02,0.190372097,0.121063071,9.80E-02,0.416270266,0.306091654,0.522173049,0.44278061,0.393833241,1.06E-02,8.98E-02,0.976701253,0.32268718,3.22E-03,0.589618863,1.64E-02,0.864795252,0.2033024,0.225253396,0.333769095,0.353575341,0.544715251,0.472116842,0.308935576,0.455562531,0.289634,0.490644685,0.456425317,0.543814667,0.31065295,5.24E-02,0.285914785,0.321104242,0.422632133,0.34873617,0.588471755,0.16718195,0.536848433,0.370391417,0.376695452,0.43001743
Doxorubicin,0.503645722,0.509894718,0.514014003,0.372692791,0.478207978,0.289169639,0.191501152,0.24007258,0.39205824,0.672872118,0.349136207,0.680606376,0.377708107,0.556813136,0.49780111,0.457817329,0.3362011,0.390837305,0.599257787,0.567638206,0.469570286,0.776237697,0.39721096,0.652212387,0.665917371,0.582153289,0.663198997,0.553900339,0.767819698,0.521571586,0.455204806,0.424167124,0.323403667,0.494560148,0.52740278,0.597559333,0.558137876,0.46585481,0.230147302,0.256969463,0.716106808,0.361088345,0.576516246,0.178662441,0.443286446,0.367377197,0.543861194,0.40137887
Erlotinib,5.66E-02,0.120794878,2.80E-02,7.05E-02,4.95E-02,4.54E-02,2.84E-03,2.22E-02,2.44E-02,0.14921274,4.29E-02,0.199303562,1.77E-02,1.74E-02,4.27E-02,7.50E-03,6.35E-02,3.16E-02,8.41E-02,5.41E-02,1.73E-02,9.37E-02,7.38E-02,0.202777479,1.89E-02,3.43E-02,0.261838489,0.350189541,0.195674741,0.312612343,0.132924639,0.172917411,8.39E-02,0.209709474,0.323413944,6.69E-02,7.95E-02,0.181557273,6.52E-02,0.11173419,9.25E-02,4.30E-02,7.08E-02,8.31E-02,0.132684234,0.174636162,0.14902773,2.07E-03
fingolimod,0.113407566,0.138820418,0.22526945,0.242304281,0.235975882,NA,NA,0.246812264,NA,0.197250471,0.211815455,0.231755145,NA,0.278079074,0.165726654,0.167340709,0.214803537,0.279314709,0.199290754,0.170677279,0.209629216,0.326223618,0.242241617,0.280416896,0.204304924,0.189993918,0.266851923,0.255756388,0.233976866,0.190321852,0.195174677,0.14745015,0.224824,0.230648403,0.113197253,0.161274,0.249964441,0.293949925,0.186472139,0.121403452,0.237402454,0.199349527,0.161379205,0.184916789,0.206225003,0.233839553,0.219325594,0.161064966
fulvestrant,NA,2.68E-02,NA,NA,NA,NA,NA,NA,NA,0.112655002,NA,9.82E-02,NA,NA,NA,NA,8.96E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.60E-02,0.116263429,NA,NA,NA,NA,NA,NA,NA,NA,3.86E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143448581,NA
Gefitinib,0.105565157,0.141266026,6.10E-02,0.115937283,6.60E-02,0.116504586,4.70E-02,7.56E-02,5.13E-02,0.189844708,0.164244358,0.168963429,0.108690277,7.89E-02,2.03E-02,4.28E-02,0.171173307,0.100296098,3.14E-02,0.112934325,7.52E-02,0.213113555,4.38E-02,0.204772371,6.08E-02,5.78E-02,0.224289476,0.31051375,0.171595173,0.120258152,0.126698757,0.108149437,6.69E-02,0.257649874,0.169498519,4.92E-02,5.65E-02,0.188897727,5.30E-02,0.177714974,6.08E-02,3.61E-02,9.62E-02,0.12917235,NA,0.132230699,0.1885336,3.24E-03
Gemcitabine,0.796316772,0.847620056,0.734267165,0.542948868,0.613572238,0.490518057,0.403115838,0.320603129,0.681617416,0.683113711,0.496179418,0.732981914,0.672898591,0.515838,0.496564117,0.690724324,0.358690152,0.439617945,0.87259061,0.558586592,0.283354336,0.66285042,0.427680713,0.645942255,0.883843361,0.73100956,0.514570252,0.383194746,0.585186712,0.401308035,0.289554923,0.281300903,0.534695667,0.310900968,0.358654924,0.722676667,0.438756393,0.20581684,0.129773043,0.114106463,0.568369167,0.116823945,0.503799299,0.459209095,0.263022832,0.561301946,0.48667189,0.121566709
ibrutinib,4.92E-02,NA,3.70E-02,0.139078935,0.262200971,NA,NA,9.81E-02,NA,NA,NA,NA,0.10200627,7.56E-02,4.50E-02,3.63E-02,NA,0.101389113,4.46E-02,0.203147651,NA,5.13E-02,0.13769717,0.122914805,0.122954603,9.79E-02,NA,NA,0.218370285,0.372743605,0.207353939,0.350044612,0.244327,0.488654724,0.11603037,4.28E-02,NA,0.1384085,0.256546806,5.08E-02,6.03E-02,0.166186227,0.184173653,0.192410828,8.89E-02,0.236627069,NA,0.176832679
ifosfamide,NA,2.92E-02,NA,NA,NA,NA,NA,7.14E-02,NA,3.89E-02,NA,5.80E-02,6.07E-02,NA,NA,NA,1.75E-02,3.82E-02,NA,NA,0,NA,6.02E-02,NA,NA,8.61E-02,3.86E-03,3.57E-02,NA,NA,1.01E-02,NA,NA,7.47E-02,NA,NA,0.11556715,2.99E-02,NA,NA,NA,NA,NA,NA,NA,NA,8.13E-02,7.66E-02
Imatinib,1.82E-02,1.85E-02,2.55E-02,2.22E-02,0.273787391,1.89E-02,1.58E-02,2.11E-02,1.93E-02,6.00E-02,4.64E-02,1.09E-02,3.12E-02,3.62E-02,1.69E-02,3.63E-02,1.18E-02,3.63E-02,1.44E-02,3.18E-02,3.27E-02,6.03E-02,0.360765062,0.100242308,3.58E-02,3.55E-02,5.56E-03,0.153158846,1.54E-02,4.60E-02,4.33E-02,4.69E-02,2.55E-02,7.11E-02,2.54E-02,3.13E-02,5.99E-02,9.50E-02,5.71E-02,3.70E-02,3.19E-02,3.39E-02,5.36E-02,4.06E-02,3.94E-02,0.105406333,0.161151163,2.95E-02
Irinotecan,NA,0.399592361,NA,0.508938536,0.516048027,0.303050509,NA,NA,0.364925312,NA,0.2411908,0.439333077,0.41697362,NA,0.470362088,NA,0.505481078,NA,0.425462238,0.338396112,0.224375665,NA,0.429282918,NA,NA,0.474422483,0.248029477,0.11285754,0.311256007,0.179967365,0.115481332,5.16E-02,0.410809,0.155663032,0.192747847,0.237966,0.137136751,0.408991531,0.231951333,0.181656738,0.42097759,8.14E-03,0.273900485,0.141413248,0.329546115,0.38993364,0.117383328,0.167005045
itraconazole,1.87E-02,8.45E-02,5.07E-02,4.52E-02,5.69E-02,NA,NA,7.18E-02,NA,NA,3.97E-02,0.257979218,8.48E-02,2.03E-02,5.63E-02,1.73E-02,8.75E-02,4.91E-02,4.05E-02,1.75E-02,NA,0.266625776,9.48E-02,0.108282921,3.62E-02,4.70E-02,0.211678821,9.75E-03,1.25E-02,4.64E-02,2.45E-02,3.88E-02,4.35E-02,0.146174221,4.38E-02,3.28E-02,8.74E-02,2.37E-02,0.118602081,NA,7.83E-02,5.27E-02,7.96E-02,3.61E-02,4.47E-02,6.70E-02,0.128774564,NA
lapatinib,2.67E-02,2.16E-02,1.76E-02,1.22E-02,0.187631581,1.43E-02,2.91E-03,2.26E-02,2.47E-02,9.80E-02,5.52E-02,6.25E-02,1.42E-02,3.70E-03,1.80E-02,3.71E-02,5.81E-02,8.02E-02,9.70E-03,5.18E-02,4.22E-02,0.252296842,7.89E-02,0.165570592,3.03E-02,6.91E-02,0.200121287,0.339877613,0.156279045,0.253533867,0.140197507,0.470839546,0.132121667,0.275648151,0.244533329,9.08E-02,9.25E-02,0.107741041,8.10E-02,0.15020438,5.26E-02,8.99E-02,9.38E-02,0.100463591,0.149842291,0.164094328,0.124530978,8.39E-02
lenalidomide,3.21E-03,NA,7.03E-02,NA,2.84E-02,1.50E-02,8.82E-02,8.61E-03,3.38E-02,8.24E-02,3.33E-02,6.95E-02,1.87E-02,8.70E-02,1.80E-02,1.60E-02,3.33E-02,2.66E-02,0,7.67E-04,4.14E-03,NA,0.115352123,NA,4.44E-02,6.37E-02,1.60E-02,2.10E-02,1.34E-02,1.99E-02,9.25E-03,3.59E-02,3.26E-02,0.100628928,1.14E-02,7.70E-02,0.103506341,NA,6.00E-02,NA,0,2.40E-02,0,0,NA,5.94E-02,7.18E-03,NA
lenvatinib,1.43E-02,7.59E-03,1.77E-02,6.76E-02,0.675382318,NA,NA,1.55E-02,NA,0.436037609,0.179917876,0.284492379,6.18E-02,4.30E-02,4.41E-02,1.96E-02,2.45E-02,0,3.33E-02,1.35E-02,4.34E-02,3.08E-02,9.88E-02,9.60E-02,1.34E-02,5.86E-03,4.26E-02,0.140795756,1.96E-02,4.25E-02,3.84E-02,7.35E-02,0,2.97E-02,0,8.80E-03,0.251058676,2.34E-02,3.00E-02,1.63E-02,3.97E-02,8.39E-02,0.101560554,3.53E-02,0.111644682,0.181580743,0.182868355,0.921908999
lovastatin,0.212822392,0.245061556,0.178463471,0.102418734,0.160589875,NA,NA,0.142691376,NA,0.268760441,0.230096592,0.290456071,0.179021754,0.25385401,0.205067654,0.186919612,0.171464494,0.220127421,0.250421499,0.272252133,0.368305975,0.214426504,0.24690673,0.171876956,0.32596439,0.207909061,1.57E-02,0.2179998,0.566176721,0.318298414,6.33E-02,7.52E-02,0.149275,0.175295032,0.188401502,4.90E-02,9.03E-02,5.24E-02,0.443477061,0.252546501,0.219310387,0.342552276,0.50112688,0.374707914,NA,0.332730176,0.2845421,0.194555804
Methotrexate,0.414341208,0.767048131,0.480835272,0.537741544,0.226308722,0.455695182,0.468302428,0.162259726,0.580278997,0.575429362,0.597847609,0.574460909,0.517501926,0.143559461,6.07E-02,0.400322896,0.393158767,0.421134915,0.718386099,0.731565914,0.469456111,0.611977194,0.212602677,0.521038047,0.482739377,0.18011738,0.12621371,0.358346001,0.403347587,0.294629671,0.101195784,0.430880699,0.2695846,0.483070355,0.547493005,0.396152,0.362695593,NA,0.155667564,0.722342299,6.22E-02,6.20E-02,0.228399669,0.462130605,NA,1.91E-02,0.161960633,0.198727617
Midostaurin,9.41E-02,6.40E-02,4.21E-02,0.145067758,0.443163419,0.130305235,5.14E-02,2.76E-02,7.90E-02,0.557765856,0.427511595,0.573738527,3.91E-02,6.35E-03,0.113147177,8.02E-03,6.57E-03,9.84E-03,0.263140985,NA,1.41E-02,NA,0.251537304,NA,8.53E-02,8.61E-02,0.129215476,9.37E-02,0.244662733,0.168321345,8.47E-02,3.42E-02,0.145778,0.23886027,0.147269329,0.159269,6.69E-02,NA,4.43E-02,1.78E-03,0.198701975,0.406401704,0.326004577,0.336871459,1.53E-02,0.295063449,7.02E-02,0.392379056
nelarabine,0,0,9.77E-04,1.43E-03,5.55E-03,NA,NA,NA,NA,NA,6.44E-02,NA,NA,0,0,2.49E-02,NA,0.276273197,2.25E-03,NA,NA,9.44E-04,NA,3.88E-02,NA,NA,0,1.51E-02,7.40E-02,0,0,7.41E-02,2.10E-02,1.71E-03,7.18E-02,9.08E-03,8.93E-02,2.80E-02,1.82E-02,4.62E-02,4.68E-02,1.50E-02,8.02E-03,3.22E-02,0,3.14E-02,2.14E-02,NA
neratinib,0.230410055,1.58E-02,0.213696874,0.221103322,0.294172227,NA,NA,0.248516247,NA,0.258484024,0.370391685,0.380169207,0.247143656,0.291560718,0.10749582,0.229621108,0.425821642,0.235493032,0.264289153,0.338123982,0.234635171,0.330372013,0.354550853,0.270576378,0.272470585,0.236279864,0.431717203,0.447890565,0.108997127,0.368390346,0.28224049,0.742146426,0.186707,0.590223861,0.340779098,8.80E-02,0.232603139,0.210013654,0.225319182,0.14840198,0.189653783,0.176671691,0.158466528,0.213660984,0.173309496,0.270043854,0.505712126,0.255413292
Nilotinib,2.71E-03,4.45E-02,5.47E-02,7.36E-02,0.534263934,8.38E-03,0.101945309,7.16E-03,6.77E-02,0.109274766,8.00E-02,8.54E-02,4.23E-02,0.17610223,4.32E-02,2.17E-03,1.51E-02,1.64E-02,0.141401799,2.68E-02,0.114621211,0.228041665,0.160973787,1.27E-02,9.08E-03,5.24E-02,3.74E-02,9.63E-02,5.73E-02,9.18E-02,3.31E-02,4.07E-02,2.39E-02,0.106296887,3.95E-02,7.85E-02,8.76E-02,0.189596156,2.70E-02,1.58E-02,3.44E-02,3.89E-02,1.55E-02,5.15E-02,0,4.11E-02,0.127449384,7.78E-04
nintedanib,4.51E-02,8.74E-04,3.39E-02,4.06E-02,0.705456633,NA,NA,1.66E-02,NA,0.729273303,NA,0.665399466,6.17E-02,0.175065925,0.152628717,NA,6.85E-02,9.02E-02,5.17E-02,1.28E-02,0.247085217,0.211815886,0.205410952,0.111681046,1.26E-02,5.75E-02,3.03E-02,0.18884882,9.20E-02,5.82E-03,9.21E-03,2.91E-02,9.34E-03,0.279938317,2.76E-02,0.117004,1.79E-02,5.57E-02,2.25E-02,2.61E-02,2.90E-02,1.75E-02,7.41E-02,1.37E-02,2.25E-02,6.58E-02,0.430121242,7.09E-02
omacetaxine mepesuccinate,0.657538851,NA,0.835256076,0.69348512,0.932546848,NA,NA,0.500388063,NA,NA,0.505433811,NA,0.694870939,0.918084807,0.793854187,0.576030317,NA,0.701297607,0.936313937,0.734304701,0.72125272,0.851696793,0.628139091,0.845568747,0.639807982,0.737725158,NA,NA,0.635239561,0.711745245,0.793510765,0.459919088,0.633339,0.612034839,0.640436525,0.552986,NA,0.310613827,0.480752938,0.506384049,0.638829102,0.393956685,0.639574475,0.242377829,0.851841599,0.392114287,NA,0.630283681
Oxaliplatin,5.12E-02,0.130725671,4.32E-02,7.23E-02,0.226626832,NA,NA,6.84E-02,NA,0.444820155,0.132068848,0.191954069,NA,0.363341876,0.205952955,2.03E-02,0.22265311,4.32E-02,0.1587292,NA,0.270465571,0.189596162,0.117557072,6.10E-02,NA,NA,3.03E-02,6.00E-02,2.72E-02,3.01E-02,4.07E-02,8.81E-03,8.87E-02,4.18E-02,7.33E-04,4.63E-02,1.66E-02,8.67E-02,5.63E-02,3.06E-02,1.72E-02,4.57E-02,0.110427139,2.57E-02,7.80E-02,2.68E-02,2.92E-02,2.67E-03
paclitaxel,0.245008074,0.418363646,0.705619145,0.601348105,0.414623983,0.41227894,8.62E-02,0.21037683,0.538991244,0.71046315,0.424568103,0.663088536,0.62283552,0.699127116,0.662745356,0.442337996,0.541362367,0.459718434,0.770708067,0.537178041,0.50817459,0.529928252,0.485717199,0.79454034,7.49E-02,0.686489373,0.473508866,0.661234178,0.771644715,0.689521277,0.743694776,0.507491739,0.514704,0.717768548,0.602468335,0.747558667,0.396577405,0.453512492,0.466899005,0.50683117,0.706226069,0.522814019,0.843498564,0.268939137,0.904228986,0.548479538,0.558308875,0.749378123
Panobinostat,0.937396914,0.858988891,0.885704884,0.829893593,0.840313559,0.66354061,NA,0.7598956,0.473783733,0.904797041,0.509355453,0.694745886,0.75265472,0.954913518,0.719287861,0.936323179,0.84313386,0.801112205,0.732096132,0.673757129,0.654940524,0.91828175,0.656251219,0.978159385,0.832777436,0.697607219,0.931869195,0.596132356,0.633642773,0.610578953,0.724897389,1,0.7347885,0.729803137,0.528748883,0.466823,0.777254836,0.995710318,0.739532632,0.637443597,0.860368805,0.678686704,0.749659112,0.589492053,0.859066288,0.801817267,0.766206182,0.559468063
