X,CMK,HEL,HL.60,K052,KASUMI.1,KG.1,KMOE.2,ME.1,ML.2,MOLM.13,MONO.MAC.6,MV.4.11,NOMO.1,OCI.AML3,OCI.AML5,OCI.M1,P31.FUJ,PL.21,SIG.M5,SKM.1,THP.1,AML.193,GDM.1,M.07e,NB4,OCI.AML2,COLO.680N,KYSE.140,KYSE.150,KYSE.520,KYSE.70,OE19,OE33,KYSE.410,KYSE.450,KYSE.510,HEP.3B,HEP.G2,JHH.2,PLC.PRF.5,SK.HEP.1,SNU.387,SNU.423,SNU.449,SNU.475,JHH.4,SNU.182,SNU.398
L-685458,3.86E-03,0,2.19E-02,9.36E-02,1.21E-02,1.35E-03,NA,3.37E-02,NA,9.34E-02,NA,3.01E-02,5.43E-02,1.71E-02,0.113755501,1.23E-02,4.17E-02,1.40E-02,0.138815534,4.44E-03,7.41E-02,2.34E-02,4.98E-02,2.08E-02,4.71E-03,1.06E-02,0,0.164364193,3.83E-02,2.07E-02,2.89E-03,4.20E-02,1.94E-02,9.81E-02,6.67E-02,1.57E-02,5.41E-02,2.49E-02,3.10E-02,2.89E-03,2.72E-02,1.04E-02,6.06E-02,3.96E-03,1.48E-02,4.23E-02,2.06E-02,8.97E-02
LAQ824,0.937853034,0.898168696,0.694637488,0.691461054,NA,0.6706126,0.539779722,0.596394018,0.514543158,0.680415659,0.591123782,0.803731856,0.592878327,0.612884086,0.815021389,0.737170914,0.383559991,0.479571963,0.78640851,NA,0.481245025,NA,0.795153942,NA,0.85202149,0.695605028,1,0.722939424,0.720250442,0.598263184,0.688449338,0.935889723,0.549522,0.7647803,0.642899648,0.639992,1,NA,0.273648645,0.27788251,0.835316867,0.616181235,0.943513446,0.660165173,0.619735869,0.525599554,0.493779445,0.728718847
LBW242,NA,NA,NA,3.66E-02,NA,8.64E-02,NA,NA,NA,NA,NA,NA,NA,NA,3.49E-02,NA,9.55E-02,NA,5.21E-02,NA,NA,NA,NA,NA,NA,1.88E-02,NA,0.246025975,0.150721459,0.162412749,7.60E-02,NA,0.206533,0.114250121,4.94E-02,6.26E-02,5.44E-02,0.172718727,5.36E-02,5.40E-02,0.140095762,7.77E-02,0.175800045,0.113085554,0.375317968,9.62E-02,8.53E-03,0.19148157
LE-135,4.06E-02,7.51E-04,8.39E-02,5.31E-02,9.21E-02,NA,NA,5.67E-02,NA,7.34E-02,0.166136547,0.194412324,0.139818842,0.111566591,0,6.82E-02,3.28E-02,0.209356832,0.174266734,9.79E-02,0.432357905,0.169321305,7.58E-02,0.123485715,0.196520022,0.218150491,3.31E-02,6.50E-03,0.171116986,0.164966642,9.28E-02,1.58E-02,0.149893,0.116504455,3.56E-02,0.141363,1.35E-03,0.148000062,0.20212837,0.139608725,5.26E-02,4.00E-02,0.160397555,4.84E-02,0.113983994,0.105258977,9.17E-02,1.34E-02
leptomycin B,0.97770954,0.986531515,0.911226753,0.872603391,1,NA,NA,1,NA,0.938935012,0.431790137,0.937878543,0.937768561,0.953428142,0.995677106,0.933230643,0.986489958,0.958682241,0.957271026,0.96359738,0.963051936,1,0.92321114,0.96956938,0.957734072,1,0.987003915,1,0.81421722,1,1,0.698038822,0.876272,0.841433122,0.863723131,0.856045,0.549148341,0.609134875,0.754010205,0.753141175,0.66803682,0.674089146,0.99582866,0.772990778,0.711568021,0.733579422,1,0.800658345
LFM-A13,1.33E-02,7.28E-02,5.41E-02,5.14E-02,NA,3.33E-03,3.50E-02,9.01E-02,4.45E-02,1.98E-02,0.102001191,4.73E-02,6.61E-02,5.40E-03,7.75E-02,8.55E-04,3.65E-03,8.34E-02,0.136874727,NA,8.42E-03,NA,6.39E-02,NA,8.20E-02,1.60E-02,0.111995087,3.72E-03,0.12670631,0.149922373,6.56E-02,0.112118438,2.97E-02,0.123828636,6.72E-03,1.65E-02,0.24511995,NA,2.12E-02,6.30E-02,0.297109873,4.89E-02,0.268380385,0.307240155,6.92E-02,4.21E-03,9.28E-02,5.98E-02
Lisitinib,0.421388379,7.61E-02,0.336306989,5.14E-03,NA,0,0.162090875,4.63E-02,0.461037558,7.66E-03,1.52E-02,4.35E-02,0.171292823,0,0.424174967,0,0,0.463035501,0.385589081,NA,0,NA,0.558825332,NA,0.458787377,9.21E-02,0.325227604,6.68E-02,0.230771955,0.265907838,0.10381355,8.13E-02,0.102812,0.186548608,2.08E-02,2.64E-02,0.481660646,NA,6.82E-02,2.65E-02,0.235848622,0.428810871,0.433834109,0.237673542,2.83E-02,5.64E-02,1.60E-02,7.00E-02
LRRK2-IN-1,0.285436352,NA,0.28106863,0.308040714,0.542890598,NA,NA,0.171600139,NA,NA,0.130484873,NA,0.241332324,0.456667004,0.232892564,0.302686178,NA,0.246440392,0.284879634,0.281367706,0.340095643,0.240819725,0.233403862,0.307845845,0.311370965,0.378225259,NA,NA,6.09E-02,0.129741287,0.123907759,0.138496537,0.220593,0.153651236,6.74E-03,2.54E-02,NA,0.185923093,1.64E-02,2.26E-03,3.32E-02,NA,0.120726528,3.31E-02,0.186536563,0.159750769,NA,7.09E-02
LY-2157299,NA,2.59E-02,NA,NA,NA,NA,NA,NA,NA,2.02E-02,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14E-02,0.133612623,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112850384,NA
LY-2183240,0.302847835,0.293125895,0.230861608,0.295285584,0.258910627,NA,NA,0.206833616,NA,0.198270946,7.78E-02,0.290004245,0.235026688,0.227873958,0.227801315,0.225771281,0.369324061,0.32273709,0.233156677,0.240482405,0.233753662,0.426868851,0.314866748,0.377573763,0.289068054,0.232815627,5.64E-02,0.201684035,0.191512514,0.146221262,0.177531005,0.141092743,5.18E-02,0.193388087,6.68E-02,0.161666,6.16E-02,9.03E-02,0.190408537,0.157459655,0.172247992,0.161214628,0.224091839,0.12690636,0.168017198,0.219222725,0.193973463,0.177735021
